#Frame     o_angle_m1   o_angle_m2
       1      34.4673      35.5887
       2      35.8627      35.8507
       3      38.1276      37.7766
       4      41.5204      35.8770
       5      40.5727      38.6497
       6      41.6900      38.3820
       7      39.6198      38.5666
       8      35.9857      36.8204
       9      36.5718      38.0110
      10      35.2256      39.6615
      11      34.4431      39.5730
      12      34.4280      40.3898
      13      34.9202      38.6544
      14      37.1892      40.2719
      15      37.2232      39.0683
      16      40.3404      40.5200
      17      36.0879      36.6453
      18      36.9435      38.9425
      19      36.3962      37.7138
      20      36.9240      36.4273
      21      38.7960      36.6679
      22      37.4437      36.9148
      23      37.9892      39.7250
      24      37.4870      36.6019
      25      39.4763      42.6949
      26      37.7247      38.2143
      27      35.2231      35.5816
      28      37.3669      36.7078
      29      38.2702      36.9585
      30      39.0339      36.1366
      31      38.9439      35.9198
      32      40.8594      38.0767
      33      41.7562      39.2261
      34      41.8262      38.7951
      35      38.5281      38.7942
      36      38.1932      37.0339
      37      38.3243      38.5657
      38      36.7427      37.5689
      39      35.6319      37.6569
      40      39.2559      42.1818
      41      43.3974      39.2491
      42      42.4362      39.6911
      43      43.9957      41.3510
      44      39.6579      38.0167
      45      39.4251      37.6240
      46      41.1509      41.3904
      47      38.3241      36.2034
      48      38.4433      35.5917
      49      44.7063      40.6517
      50      43.7769      36.9501
      51      44.1339      37.8809
      52      41.1974      34.5381
      53      43.2964      36.3887
      54      42.3144      34.0898
      55      42.4846      34.9275
      56      46.0915      38.6155
      57      42.9403      32.5720
      58      44.9027      33.2048
      59      43.8619      37.4994
      60      44.5758      33.4996
      61      42.0092      33.0153
      62      40.1038      34.2600
      63      39.6110      36.3509
      64      39.1240      35.4827
      65      43.5282      35.6860
      66      42.3258      34.2279
      67      42.5427      35.7948
      68      44.2639      38.9162
      69      42.6455      34.8838
      70      45.0242      35.4908
      71      44.9056      33.4940
      72      42.4269      34.3247
      73      41.1907      34.4512
      74      40.5804      34.7551
      75      44.0786      36.4425
      76      43.3824      36.5110
      77      45.9432      38.6150
      78      43.2316      36.1149
      79      44.4437      32.5757
      80      44.0960      35.6644
      81      43.6843      31.8416
      82      41.0601      30.1836
      83      41.6229      32.7432
      84      42.5155      33.5701
      85      41.6008      31.5183
      86      44.2928      31.3758
      87      39.2970      29.8214
      88      45.2254      34.2120
      89      43.8435      31.6684
      90      42.5136      30.7052
      91      41.9360      33.6721
      92      41.7891      32.5285
      93      40.1568      31.8091
      94      42.8727      33.7257
      95      43.0676      35.1768
      96      40.5985      33.7842
      97      42.4399      32.7548
      98      40.4400      29.7720
      99      44.3638      31.6745
     100      44.0323      32.6115
     101      41.9918      31.1853
     102      42.2146      28.8238
     103      45.2042      33.9795
     104      44.6397      30.8266
     105      44.3959      32.0282
     106      41.4117      30.8164
     107      45.4039      37.0355
     108      44.7777      35.0849
     109      45.5440      34.9442
     110      45.2028      35.6125
     111      43.7690      37.9622
     112      46.5804      37.0481
     113      45.2683      34.5462
