#Frame      Mode1    Mode2    Mode3
     199   31.623  -20.765    1.101
     200   25.905  -23.696   10.837
     201   26.894  -20.262    8.150
     202   34.088  -20.489    7.623
     203   32.148  -16.842   10.177
     204   36.985   -6.981    7.447
     205   40.411   -1.969    6.157
     206   36.327   -0.719    7.025
     207   34.143   -4.761    0.358
     208   35.501   -1.335   -3.782
     209   37.070   -1.310   -3.965
     210   29.851   -5.419   -6.768
     211   29.264   -1.554   -8.504
     212   33.366   -0.776  -13.674
     213   36.524    1.514  -14.560
     214   35.470    2.704  -14.355
     215   39.827    1.145  -13.810
     216   38.572    0.435   -9.147
     217   36.894   -7.223   -0.349
     218   36.819   -1.335   -5.665
     219   37.348   -2.279   -4.620
     220   37.689   -3.156   -5.315
     221   33.596   -6.452  -11.957
     222   29.382   -8.241  -13.405
     223   30.351   -5.611  -12.613
     224   33.242   -1.108  -13.378
     225   34.586    1.178  -25.737
     226   36.844    2.187  -23.343
     227   36.088   -0.488  -17.783
     228   31.472   -4.571  -14.917
     229   36.163   -3.715  -13.699
     230   33.207   -2.280  -18.161
     231   33.902   -1.984  -20.242
     232   30.752   -0.481  -24.486
     233   29.528   -3.873  -15.985
     234   26.935   -3.588  -22.085
     235   29.206   -1.577  -25.415
     236   28.390   -1.655  -24.461
     237   27.007   -8.308  -21.195
     238   26.988   -7.343  -12.462
     239   27.541   -2.082  -11.543
     240   24.461   -5.024  -13.543
     241   25.938   -7.210  -10.051
     242   23.552  -14.194  -21.340
     243   22.561  -12.814  -15.037
     244   24.118   -5.757  -21.573
     245   25.462   -2.798  -22.898
     246   24.742   -2.219  -24.919
     247   23.352   -5.186  -26.259
     248   30.901    4.990  -27.596
     249   28.074    3.668  -24.062
     250   27.490    1.979  -16.696
     251   21.180    0.783  -16.102
     252   22.898   -2.542  -13.575
     253   18.156   -6.026  -14.176
     254   15.622   -6.178   -9.178
     255   17.384  -12.205   -6.210
     256   20.757   -7.546  -10.146
     257   24.504   -7.923   -6.395
     258   27.084   -1.937  -12.107
     259   28.683   -0.176  -13.553
     260   25.286  -12.212   -8.410
     261   28.816   -8.238   -7.334
     262   27.875   -5.414  -11.742
     263   22.343   -8.399  -15.418
     264   23.759   -6.507  -17.107
     265   24.321   -3.702  -21.907
     266   23.050   -7.685  -21.180
     267   24.299   -8.584  -15.352
     268   25.865   -6.855  -18.994
     269   26.498   -2.438  -22.680
     270   26.789   -3.955  -22.030
     271   25.166   -5.409  -24.083
     272   25.845   -1.958  -21.953
     273   23.853   -5.833  -20.031
     274   25.752   -0.847  -20.217
     275   25.616   -3.770  -12.278
     276   26.680   -5.471  -18.685
     277   26.943   -0.220  -20.432
     278   23.005   -2.909  -22.357
     279   25.865    4.791  -20.778
     280   23.915    3.777  -19.324
     281   24.766    2.839  -25.397
     282   25.423    7.371  -28.255
     283   28.775    9.363  -26.485
     284   28.127    6.870  -27.632
     285   29.181   12.280  -24.636
     286   31.803   10.769  -25.840
     287   31.480   14.816  -30.144
     288   31.269   11.605  -39.771
     289   30.237   11.528  -40.123
     290   30.329    9.446  -41.700
     291   26.825    8.284  -41.178
     292   23.100    8.129  -42.259
     293   25.736    7.225  -41.284
     294   18.759    2.193  -43.822
     295   21.018    2.003  -39.844
     296   22.357    0.738  -40.120
     297   21.975   -0.364  -38.588
     298   27.601    5.216  -36.133
     299   26.935    8.175  -34.833
     300   27.347   13.131  -39.468
     301   26.390   11.858  -41.784
     302   23.634   12.393  -40.854
     303   24.769   10.570  -43.400
     304   34.167   17.664  -41.018
     305   29.701   14.738  -36.289
     306   29.541   12.930  -39.443
     307   26.023   14.107  -36.225
     308   24.883   15.473  -32.339
     309   24.324   18.144  -31.690
     310   27.613   17.996  -32.340
     311   28.929   24.596  -34.117
     312   25.660   14.907  -32.457
     313   21.533   15.612  -29.576
     314   20.754    7.767  -26.018
     315   22.473   12.549  -35.226
     316   25.816   12.461  -39.383
     317   22.245    8.010  -35.387
     318   28.491    8.202  -40.366
     319   26.955    6.945  -35.469
     320   30.057    8.765  -38.861
     321   29.862   13.417  -34.523
     322   28.543    7.304  -34.536
     323   25.745    9.770  -28.215
     324   26.606   12.764  -33.562
     325   29.456   12.595  -26.842
     326   26.118    6.172  -28.608
     327   27.376    5.900  -26.698
     328   29.151    8.954  -24.642
     329   21.917    0.161  -19.134
     330   19.381   -2.611  -24.313
     331   19.947   -2.375  -20.295
     332   21.662    3.708  -25.528
     333   10.272   -1.761  -26.176
     334   15.060    4.450  -30.153
     335   18.232    4.978  -31.480
     336   17.378    3.151  -30.909
     337   17.820    5.329  -29.622
     338   17.319    6.144  -29.527
     339   18.606    3.814  -30.122
     340   21.104    3.107  -32.339
     341   24.023    3.777  -33.195
     342   24.281   10.649  -35.033
     343   23.107    3.264  -32.643
     344   24.200    0.153  -36.957
     345   23.769    3.569  -39.330
     346   19.997    1.891  -33.282
     347   20.112    2.475  -38.742
     348   19.831   -5.393  -37.041
     349   15.385   -3.383  -34.366
     350   12.271  -10.698  -17.748
     351   11.977  -11.172  -20.057
     352   11.907   -9.478  -13.714
     353   13.068   -4.830  -22.590
     354    8.191  -10.544  -21.376
     355    6.160   -5.786  -23.791
     356    7.814   -8.798  -25.949
     357    9.453   -6.897  -37.436
     358   11.693   -5.634  -32.275
     359   11.681   -8.081  -27.800
