#Frame     o_angle_m1   o_angle_m2
       1      36.6435      31.6984
       2      34.5059      32.4617
       3      36.5640      37.0411
       4      36.5850      36.3235
       5      35.8009      35.4074
       6      34.2827      33.0152
       7      34.8413      32.1328
       8      36.3925      33.4760
       9      31.9855      32.2814
      10      34.6406      34.1355
      11      33.0574      31.7087
      12      36.7992      32.8361
      13      34.6919      32.5772
      14      35.2855      32.5479
      15      33.1847      30.5202
      16      36.2940      29.6478
      17      36.9389      32.7034
      18      36.3558      33.4058
      19      37.5245      32.6575
      20      37.8927      34.0374
      21      38.3383      31.4708
      22      42.0698      31.7664
      23      39.6263      32.3970
      24      38.0399      31.9145
      25      41.4616      32.2027
      26      39.5827      33.1765
      27      39.1632      35.2919
      28      39.7723      33.8449
      29      40.2828      35.6491
      30      41.9684      37.0490
      31      39.5445      32.7063
      32      41.0792      35.0852
      33      39.4218      33.6076
      34      40.6667      35.3653
      35      38.7518      34.6208
      36      36.4340      31.4601
      37      35.7616      31.3994
      38      35.8912      26.8401
      39      39.6342      29.8296
      40      37.6425      30.3168
      41      36.6839      35.7465
      42      42.4757      33.9407
      43      38.7984      32.2081
      44      36.6849      32.5621
      45      37.5614      33.7227
      46      35.5813      32.0042
      47      38.2829      33.6449
      48      40.6432      31.9826
      49      39.5760      30.4670
      50      40.7503      27.7423
      51      39.1831      30.7845
      52      37.9958      30.9142
      53      36.8781      27.8485
      54      37.5386      29.6097
      55      40.1715      30.7892
      56      37.4335      31.1339
      57      38.0334      31.9814
      58      34.8376      31.0431
      59      36.0380      32.1470
      60      33.4602      31.5689
      61      36.0437      31.3085
      62      35.5203      30.2822
      63      36.1120      32.1922
      64      34.5896      32.0979
      65      35.3387      30.8237
      66      38.0726      33.2972
      67      35.1797      31.3500
      68      35.4350      35.0090
      69      35.3458      37.6650
      70      37.1731      35.3926
      71      35.0072      37.0662
      72      37.1248      37.4241
      73      39.6522      37.1912
      74      39.2960      35.4219
      75      36.2792      32.0165
      76      39.0752      32.1707
      77      37.3993      30.9325
      78      38.7236      30.2613
      79      35.7604      32.9107
      80      36.8194      34.1768
      81      35.9470      32.5887
      82      37.9667      33.3221
      83      36.9819      34.4793
      84      33.5355      30.5120
      85      34.5715      32.2041
      86      33.4487      34.2948
      87      31.7445      31.9129
      88      37.6654      36.5941
      89      36.2069      35.3575
      90      36.9964      36.2389
      91      39.6993      36.0523
      92      39.3268      36.0701
      93      39.3880      34.8268
      94      40.1797      35.4910
      95      40.2852      34.6250
      96      42.9687      36.9864
      97      41.7172      34.3861
      98      42.4025      36.2218
      99      40.6508      34.1601
     100      38.0274      33.9151
     101      38.3579      33.1986
     102      37.2837      27.5284
     103      40.6304      31.2764
     104      37.1379      30.5144
     105      38.1068      29.9578
     106      37.6274      29.1925
     107      37.5810      29.5702
     108      36.0895      32.5702
     109      36.9595      29.6451
     110      36.0952      30.9777
     111      35.5140      32.3838
     112      34.6923      28.6718
     113      36.6006      31.2231
     114      35.0372      31.5826
     115      34.1943      33.8486
     116      36.9851      32.2687
     117      37.6755      29.9515
     118      38.2275      32.7378
     119      39.1680      31.8760
     120      37.2921      33.4502
     121      39.1130      31.8593
     122      35.4327      33.0505
     123      37.5538      32.8871
     124      39.8094      33.0733
     125      38.6184      31.2033
     126      42.0664      32.5002
     127      38.8369      32.5501
     128      37.9019      31.3831
     129      35.3406      26.4852
     130      38.9066      26.3485
     131      37.6181      25.1824
     132      39.7804      28.2108
     133      39.6947      30.4462
     134      36.9420      30.8164
     135      37.4133      31.0759
     136      39.9233      32.0723
     137      39.7696      30.9998
     138      38.7704      29.1406
     139      39.3062      28.5634
     140      39.4425      26.2804
     141      41.3585      28.4292
     142      42.3748      30.2553
     143      41.0253      29.7034
     144      39.4063      30.6675
     145      39.6228      31.4323
     146      38.1995      28.7919
     147      37.4170      30.9219
     148      36.3632      31.7421
     149      36.7304      30.6961
     150      33.9602      30.4887
     151      37.0432      29.6487
     152      38.1212      31.7460
     153      36.9209      31.3337
     154      33.7084      31.4617
     155      34.4506      33.1574
     156      33.4430      32.1580
     157      33.3030      29.4874
     158      31.7100      30.5149
     159      32.0351      30.4518
     160      34.9223      29.4743
     161      34.3903      30.0257
     162      35.3434      33.0977
     163      37.1528      33.2353
