#Frame       chi1:120     chi2:120     chi3:120
       1     168.7619      59.3290      82.3790
       2    -178.9386      87.1873      78.0527
       3    -139.7355      79.4247      72.5448
       4    -179.9856      72.2744      63.8226
       5     174.0872      64.0329      83.6505
       6    -151.4255      68.8862      98.4062
       7    -173.3358      82.0109      65.1990
       8    -179.5740      53.3534      96.8430
       9     175.5467      71.5214      82.2835
      10    -154.7869      47.5281      65.1154
      11    -167.4528      49.6442      52.2708
      12    -177.6616      63.7835      63.8157
      13    -179.4570      62.4512      60.4816
      14     179.0901      67.3823      42.5528
      15     179.0772      52.7622      29.9605
      16    -172.3231      55.3831      47.2873
      17    -169.0226      59.9330      46.4524
      18     177.9291      51.9322      58.2213
      19     174.2298      55.6378      59.4112
      20     179.3842      61.1494      79.7944
      21    -166.4963      50.9806      43.4181
      22     171.9964      61.9899      50.2134
      23     162.0040      57.1591      74.7609
      24    -170.7881      45.5543      79.5808
      25    -173.8958      60.6716      75.7579
      26     175.4095      58.6214      46.1854
      27     170.3404      53.7951      68.8933
      28    -179.5459      47.9724      77.7737
      29     173.5998      57.2381      60.0077
      30     177.3238      55.5692      68.4837
      31     177.3311      66.9151      63.9250
      32     177.7601      61.2076      59.9186
      33    -160.8682      52.5451      64.4689
      34    -163.6166      53.0646      61.1422
      35    -167.3990      45.0618      62.8034
      36    -177.4579      59.3337      63.5100
      37    -159.6698      51.3279      48.4844
      38     178.5658      48.3699      46.4196
      39     178.7714      51.3232      69.2223
      40     167.2590      50.0245      32.5397
      41     -98.0033     -70.9276     139.8307
      42     -91.9135     -37.7501     131.7013
      43    -177.0297      49.8561      79.0060
      44    -174.9581      45.4633      81.9983
      45     157.0468      73.6394      61.5844
      46    -178.0906      56.2387      74.7007
      47    -177.8088      52.8817      71.0294
      48    -165.8211      30.1117      91.7270
      49     174.3765      60.4790      52.4925
      50     171.1927      63.7715      75.5862
      51     175.1537      54.9453      62.7466
      52    -179.6699      70.3840      84.3591
      53     178.1078      29.1073      98.9064
      54    -173.7518      31.1055      80.1971
      55     173.1481      47.3010      58.1639
      56    -162.1944      29.8976      76.3817
      57     173.7114      60.4015      56.7252
      58     168.3051      37.9856      53.9585
      59     179.8308      52.8460      55.9096
      60    -178.2522      51.1759      36.5392
      61     157.6374      52.5011      97.8793
      62     171.4646      41.8566      40.6944
      63     177.5303      42.5244      45.7751
      64     173.2855      59.7160      46.7499
      65     173.1334      46.1719      57.0896
      66     154.3607      71.7667      69.0482
      67     175.2490      61.5852     126.0870
      68     174.2006      61.7365      74.6486
      69     165.6088      49.7030      69.0242
      70     176.3517      57.6059      74.4414
      71     178.0310      61.6489      67.5964
      72    -165.3706      39.4626      73.3526
      73    -179.0571      57.4894      70.6575
      74    -175.2561      42.7070      90.1377
      75     173.5390      53.1017      53.5107
      76    -165.2724      35.6623      70.0159
      77     172.6709      57.9349      67.5153
      78     168.6271      72.6823      77.7007
      79    -178.4110      49.9888      53.7684
      80     178.4483      65.4021      36.4238
      81     167.2732      62.8847      88.6169
      82    -168.6681      63.8123      81.6598
      83     168.0924      78.4397      99.0854
      84    -175.2164      53.3004      88.9089
      85     160.2990      69.4349      56.6724
      86    -175.1829      52.8333     102.3302
      87    -161.6222      41.7119      76.6795
      88     156.2979      71.9716     117.8973
      89     178.1461      49.5186      81.4743
      90     169.6215      56.1748      57.6188
      91     174.9824      54.0019      69.1599
      92     166.7944      40.2058      52.9646
      93    -175.0774      56.2341      73.9570
      94    -172.6157      53.5113      39.1992
      95    -177.2668      33.3560      36.8888
      96    -179.2349      72.5180      67.9334
      97     171.5622      43.8552     109.7866
      98     160.4478      64.4847      64.7045
      99     178.4931      51.4494     104.3473
     100    -179.9965      48.7403      62.9345
     101    -154.9465      17.9302     102.5323
     102     168.8250      61.2455      72.1363
     103    -175.5032      53.3033      59.2117
     104    -172.1906      56.4783     107.2918
     105    -171.4397      55.8686      83.5709
     106     172.0413      68.9427      52.6843
     107     179.3519      59.7205      58.6854
     108    -173.9028      74.0517      64.3657
     109    -172.9078      55.2426      99.3824
     110    -179.5177      61.6159      75.6076
     111     -83.8112     -66.3239     178.2975
     112     -82.0051     -84.9256    -176.3709
     113     -89.9519     -53.5204     167.7214
     114     -83.2886     -56.4192     174.2343
     115     -73.8925     -87.1621    -168.5820
     116     -80.5597      -1.3843     150.5169
     117     -79.9047     -65.7948     163.0846
     118     -83.9607     -58.6418     141.0009
     119     -90.5789     -60.1426     165.6199
     120    -114.0665     -28.2883     145.0247
     121     -92.8146     -30.8208      71.4988
