#Frame      Mode1    Mode2    Mode3
       1   82.354  -35.264  -22.286
       2   89.309  -34.667  -19.856
       3   87.204  -33.696  -17.283
       4   87.598  -32.203  -19.011
       5   88.659  -34.151  -18.151
       6   90.122  -32.987  -17.729
       7   84.215  -34.889  -16.170
       8   88.560  -36.212  -19.002
       9   86.203  -39.123  -14.820
      10   84.590  -36.192  -18.425
      11   84.109  -35.161  -17.619
      12   89.701  -31.779  -17.804
      13   90.473  -37.418  -15.543
      14   88.575  -34.943  -24.619
      15   90.780  -34.021  -21.094
      16   81.469  -30.523  -21.257
      17   84.657  -29.507  -21.819
      18   85.540  -32.360  -19.099
      19   87.655  -27.804  -23.135
      20   85.736  -28.539  -18.081
      21   86.369  -30.077  -23.819
      22   87.708  -30.676  -21.955
      23   91.435  -29.358  -17.248
      24   89.716  -33.596  -20.310
      25   89.867  -36.145  -21.927
      26   91.591  -38.163  -20.203
      27   91.196  -38.669  -19.689
      28   90.661  -34.517  -19.515
      29   93.349  -34.652  -21.495
      30   87.232  -36.735  -17.926
      31   95.915  -38.522  -16.710
      32   95.905  -34.786  -22.520
      33   92.997  -36.788  -19.343
      34   96.811  -37.810  -21.585
      35   94.961  -35.242  -20.003
      36   90.256  -37.381  -18.671
      37   99.019  -39.170  -20.234
      38  101.086  -40.880  -20.380
      39  103.982  -42.372  -18.516
      40  106.488  -43.977  -16.347
      41  106.749  -42.267  -13.916
      42  105.550  -43.319  -10.666
      43  102.433  -43.886  -10.825
      44  104.012  -45.713   -9.126
      45  104.267  -48.266  -11.438
      46  105.332  -49.437  -10.640
      47  105.237  -50.749   -6.063
      48  106.661  -50.445   -8.260
      49  107.820  -50.878   -7.773
      50  105.490  -51.023   -9.238
      51  113.503  -53.013   -6.990
      52  116.101  -50.053  -10.511
      53  114.501  -52.562   -5.616
      54  108.212  -49.530   -3.304
      55  108.706  -50.886   -4.104
      56  110.494  -46.611   -7.716
      57  114.460  -51.812   -6.478
      58  114.866  -49.229   -6.070
      59  114.530  -51.752   -5.929
      60  112.883  -60.320   -1.266
      61  120.598  -55.669   -2.558
      62  118.015  -55.884   -0.318
      63  119.618  -55.187   -7.218
      64  113.935  -50.056   -7.653
      65  110.734  -47.787   -7.365
      66  114.086  -44.119  -10.067
      67  112.638  -51.182   -8.459
      68  109.780  -52.913   -9.068
      69  110.168  -48.210   -8.166
      70  110.829  -47.228  -10.018
      71  112.596  -47.263   -8.016
      72  114.497  -48.426  -13.687
      73  121.187  -41.669  -13.935
      74  119.513  -40.061  -14.389
      75  118.238  -42.474  -12.802
      76  120.074  -40.327  -17.416
      77  121.661  -40.074  -15.061
      78  129.526  -37.827  -16.369
      79  119.434  -38.901  -13.195
      80  115.796  -43.241  -12.142
      81  119.391  -41.793   -9.314
      82  115.053  -43.716  -10.110
      83  117.032  -43.552  -13.579
      84  114.815  -41.925  -10.697
      85  109.672  -51.180   -8.993
      86  107.944  -44.684  -16.879
      87  107.277  -43.640  -17.556
      88  106.563  -46.264  -14.875
      89  107.351  -43.080  -16.453
      90  102.987  -44.520  -22.229
      91  111.031  -41.100  -29.040
      92  108.356  -44.147  -21.246
      93  105.606  -45.485  -23.571
      94  105.385  -43.983  -19.503
      95  107.144  -45.660  -21.345
      96  107.603  -47.367  -19.656
      97  108.391  -47.290  -15.404
      98  105.427  -38.346  -20.955
      99  105.993  -45.156  -18.723
