#Frame      Mode1    Mode2    Mode3
       1   -2.243   59.212   14.459
       2   -4.079   59.549   16.056
       3   -2.928   58.380   18.490
       4    4.687   65.344   16.771
       5    3.357   66.549   15.964
       6    4.307   63.772   17.256
       7    6.110   64.145   23.744
       8    3.183   60.035   20.234
       9    1.994   62.553   23.261
      10   -4.402   57.466   25.386
      11   -5.377   54.523   22.895
      12   -0.956   58.020   12.976
      13   -2.559   52.307   19.562
      14   -0.617   51.035   18.505
      15    4.038   56.596   19.032
      16   -1.134   56.983   20.266
      17    2.604   59.705   23.057
      18   -2.814   56.174   19.087
      19   -1.607   57.031   21.216
      20   -4.321   61.381   17.615
      21   -9.619   56.089   14.413
      22  -15.631   54.771   15.763
      23  -13.291   56.298   14.823
      24  -15.003   54.616   20.071
      25  -16.440   52.088   20.575
      26  -15.033   53.268   19.262
      27  -19.910   51.253   23.284
      28  -16.962   48.470   24.194
      29  -13.225   52.108   23.219
      30  -20.544   53.628   24.153
      31  -18.502   52.084   17.740
      32  -18.571   40.009   12.726
      33  -19.078   41.870   15.082
      34  -16.748   39.204    9.389
      35  -14.690   43.333    9.906
      36  -16.571   45.663    9.489
      37  -19.431   38.545   11.345
      38  -24.378   42.548   13.972
      39  -26.929   42.030   14.171
      40  -22.623   51.215   14.144
      41  -21.894   51.951   14.426
      42  -26.251   50.982   18.512
      43  -24.245   49.702   19.442
      44  -28.440   52.021   20.686
      45  -27.916   52.200   25.000
      46  -26.293   57.085   24.701
      47  -28.133   55.510   25.347
      48  -32.862   52.919   24.401
      49  -29.121   56.791   25.637
      50  -29.014   56.840   21.461
      51  -26.016   63.741   27.301
      52  -28.852   62.510   28.984
      53  -23.604   64.124   26.911
      54  -27.602   66.206   28.089
      55  -25.416   60.858   24.773
      56  -21.546   68.006   25.892
      57  -26.067   66.913   27.396
      58  -19.879   68.926   24.957
      59  -28.515   66.132   27.384
      60  -26.937   66.957   30.658
      61  -30.613   69.839   33.534
      62  -32.511   72.400   31.663
      63  -22.051   73.639   28.970
      64  -23.036   70.651   29.707
      65  -25.006   69.209   24.703
      66  -29.070   76.480   24.718
      67  -29.915   72.826   27.121
      68  -33.738   71.461   34.063
      69  -30.868   72.463   28.841
      70  -26.120   73.228   34.334
      71  -25.916   72.794   31.130
      72  -26.176   68.166   26.187
      73  -27.527   66.400   26.986
      74  -22.927   71.173   29.970
      75  -30.813   65.820   30.339
      76  -29.815   62.581   27.407
      77  -30.783   65.951   28.044
      78  -34.799   67.829   31.931
      79  -30.442   65.129   34.064
      80  -33.050   67.460   39.711
      81  -30.600   65.178   33.307
      82  -33.116   66.582   35.761
      83  -36.282   62.782   40.994
      84  -27.558   67.922   37.966
      85  -24.290   71.069   38.227
      86  -23.177   71.275   39.832
      87  -18.552   82.399   40.732
      88  -23.792   79.660   34.003
      89  -17.022   73.421   35.670
      90  -23.482   72.411   34.662
      91  -28.433   69.965   35.413
      92  -26.273   70.768   34.409
      93  -22.583   69.607   35.352
      94  -28.409   66.609   30.002
      95  -25.274   63.682   26.773
      96  -14.408   67.281   22.831
      97  -21.980   67.336   34.647
      98  -19.264   59.837   30.568
      99  -18.626   62.222   27.074
     100  -21.524   63.039   25.748
     101  -20.102   70.297   25.011
     102  -12.276   72.539   25.814
     103  -13.311   71.408   25.881
     104  -22.414   68.176   25.187
     105  -24.121   63.313   21.552
     106  -20.173   70.407   21.435
     107  -20.860   69.396   27.394
     108  -12.565   69.535   25.119
     109  -14.523   68.209   23.992
     110  -10.437   70.347   25.324
     111  -12.735   66.585   20.693
     112  -14.738   63.053   21.574
     113  -11.171   68.077   19.265
     114  -14.793   76.719   24.143
     115  -12.199   77.130   25.995
     116  -17.766   74.703   29.591
     117  -16.476   74.812   27.673
     118  -22.849   66.756   30.088
     119  -14.085   71.352   34.030
     120  -14.682   72.053   37.176
     121  -13.027   73.277   26.274
     122  -15.676   69.204   29.347
     123  -17.973   60.508   29.296
     124  -15.293   67.198   30.475
     125   -9.504   71.201   35.500
     126   -9.582   75.421   36.617
     127  -12.016   71.142   33.981
     128  -15.874   66.643   36.027
     129   -9.760   63.582   31.633
     130  -11.278   59.531   29.144
     131  -17.748   58.051   32.811
     132  -20.622   58.508   32.852
     133  -13.359   60.661   29.772
     134  -10.233   57.834   23.028
     135   -7.920   59.977   22.233
     136  -14.940   57.444   21.121
     137  -12.456   59.333   20.824
     138  -16.070   57.573   19.381
     139  -20.052   51.768   27.145
     140  -23.864   52.064   22.602
     141  -19.062   53.624   20.536
     142  -13.353   59.864   16.440
     143  -16.098   53.977   13.884
     144  -18.003   58.688   17.597
     145  -11.507   58.227   11.002
     146  -11.654   51.679   12.058
     147  -14.733   50.983   13.759
     148  -12.487   52.035   13.566
     149   -9.500   52.209   10.859
     150  -15.117   48.559    9.955
     151  -13.581   44.909    8.816
     152  -12.373   42.974   -2.070
     153  -13.931   49.481   10.316
     154  -14.434   50.097   13.201
     155  -15.824   48.315   12.210
     156  -14.716   51.336   11.275
     157  -16.693   51.884   14.794
     158  -12.423   55.998   13.591
     159  -15.330   50.651   12.558
     160  -19.377   49.756   14.452
     161  -19.009   50.829   10.452
     162  -17.656   47.920    5.165
     163  -15.951   48.543    9.090
     164  -16.290   52.108    0.466
     165  -18.916   51.354    3.507
     166  -17.555   46.436    5.793
     167  -14.238   53.103    9.136
     168  -14.357   51.767    9.981
     169   -9.561   56.655   10.906
     170   -8.386   51.212    9.651
     171   -6.621   50.627    6.791
     172  -10.336   51.098    9.541
     173  -10.783   49.475   12.485
     174  -13.698   51.629   20.264
     175  -23.599   51.675   19.545
     176  -18.117   53.238   23.349
     177  -19.885   54.065   20.589
     178  -20.100   53.842   19.188
     179  -16.761   53.240   17.132
     180  -17.134   55.785   12.893
     181  -14.660   53.178    9.780
     182   -8.886   54.070   10.310
     183   -6.981   52.181    4.636
     184   -7.457   54.784    3.803
     185  -16.197   48.064    4.413
     186  -11.097   42.356   -0.540
     187   -8.970   43.200   -1.497
