#Frame        chi1:32      chi2:32      chi3:32
     157     -67.3268     -89.9463      71.0036
     158     -62.3517     -68.4403      68.0201
     159     -85.9457     -94.7507      97.6031
     160     -89.5227     -75.3437     141.6125
     161     -69.9170     -85.9888      68.2678
     162     -75.7999     -63.3850      72.2600
     163     -53.1114    -102.0547      94.2045
     164     -58.6812    -121.2191     118.7902
     165     -51.5971    -170.1474      91.9784
     166     -44.8356    -152.0623      45.9603
     167     -95.6069    -179.9179     134.2827
     168    -165.8683     166.5394     153.4338
     169    -148.1309     163.8510      80.8104
     170     -59.5351    -138.0910     -75.2219
     171     -40.9747     174.0794     -42.5495
     172     -53.5267    -175.5184     -84.0504
     173     -84.8224     175.0566     -65.6639
     174     -53.9846     176.9094    -116.4932
     175     -79.1351     157.5924    -110.8146
     176    -163.4856     138.8370     -76.6716
     177     -97.3455     155.7720    -155.1500
     178     -60.3353    -153.1326     151.1339
     179     -57.4733    -143.8952     103.3355
     180     -75.9655    -138.7658      88.0713
     181     -79.1920    -111.3487      92.4793
     182     -67.3849     174.0353      46.8276
     183     -75.1398     172.9340      89.3555
     184     -73.6125     137.7953      78.6870
     185    -140.3838     142.4766      64.2698
     186     -83.8862      91.9086     106.9540
     187     -91.5083      60.2465      66.8092
     188     -70.9080      60.8457      85.4268
     189     -88.2402      68.4510      53.7318
     190    -124.6141      94.0948      15.4469
     191    -141.4398      79.5846      96.9139
     192    -117.5897      62.7227      52.0365
     193    -144.6865      69.0221      77.6127
     194    -157.2974      87.2117      72.3913
     195    -158.3136      86.2735      80.4529
     196     177.0498      65.0178      52.1596
     197    -147.7695      45.2582      78.6027
     198    -177.6762      52.7455    -166.8837
     199    -177.0531      59.4372    -118.1755
     200    -152.5646      40.6378     -93.0521
     201    -179.7080      54.5776     -69.7730
     202    -177.6059      54.0293     -93.5801
     203    -160.9611      54.1523    -144.2307
     204    -161.0784      44.6490    -111.0852
     205    -170.7777      49.0465    -103.7503
     206    -173.8073      49.8780     -98.4726
     207    -166.6208      82.7530     -94.9746
     208    -162.7694      63.0484    -129.0898
     209    -164.8455      55.1943    -110.7345
     210    -163.8472      91.0430    -159.3657
     211    -160.0498      94.5693    -146.2630
     212    -174.7739      56.3996     -80.3107
     213     162.3947      65.2640     -49.1554
     214     172.2244      60.2111     -84.7654
     215     173.2966      59.3051     -80.5179
     216     177.6272      55.7371    -106.5763
     217    -172.2110      73.2899    -138.1371
     218     148.7796      53.6771    -167.4701
     219     162.4648      63.6498    -160.7948
     220    -179.2064      64.0436     -91.6626
     221     177.5744      77.8432     -80.7598
