#Frame     o_angle_m1   o_angle_m2
       1      19.4429      19.1700
       2      18.6532      19.7592
       3      17.5326      19.0862
       4      20.5056      20.7877
       5      20.7781      20.9789
       6      22.9389      22.1481
       7      21.5807      22.9574
       8      21.8844      23.8328
       9      19.5375      21.0554
      10      16.0196      22.3718
      11      18.8055      21.3512
      12      20.9694      22.2628
      13      20.1785      22.7962
      14      21.1227      24.9971
      15      23.6816      28.0398
      16      24.9907      24.3838
      17      22.3010      23.8391
      18      22.9378      23.8078
      19      20.8261      24.3436
      20      22.3573      22.8179
      21      19.1454      19.5748
      22      21.5865      19.9513
      23      21.5355      19.9525
      24      18.6526      18.7549
      25      17.6350      18.2774
      26      18.8136      20.5328
      27      18.9714      22.2832
      28      17.9367      20.4256
      29      16.2788      20.4090
      30      18.4990      18.6334
      31      17.7948      19.6195
      32      20.6666      21.1329
      33      19.1187      20.2046
      34      21.5827      22.1058
      35      22.6769      21.5880
      36      22.8697      20.1403
      37      22.8320      20.9234
      38      21.7994      20.7502
      39      23.4912      20.3652
      40      21.6651      19.7549
      41      22.1053      20.7200
      42      20.6947      21.7510
      43      18.2066      20.5547
      44      20.5102      20.5801
      45      18.4372      18.9898
      46      15.6087      17.7362
      47      18.6623      17.7191
      48      19.7542      19.4861
      49      22.5835      19.3407
      50      23.2036      20.2255
      51      20.5437      18.3220
      52      21.2584      19.1460
      53      22.2547      20.6449
      54      22.2750      20.3302
      55      19.7353      19.0034
      56      20.1844      19.4567
      57      20.2736      18.9438
      58      18.6453      18.9514
      59      20.3085      17.8746
      60      18.6936      19.3823
      61      17.8172      19.2676
      62      21.4775      18.6376
      63      22.1210      18.3287
      64      18.3756      16.6738
      65      16.1761      16.0138
      66      16.8059      14.6487
      67      17.7785      15.5109
      68      18.6119      16.7381
      69      17.5512      16.1802
      70      17.2207      17.8538
      71      17.7512      18.4255
      72      17.4702      14.4764
      73      19.9422      17.0778
      74      20.4303      19.6431
      75      21.0079      19.2477
      76      20.2163      18.5216
      77      20.4566      18.6171
      78      20.3703      20.1179
      79      18.2496      19.9734
      80      17.6849      18.6358
      81      19.6147      21.4744
      82      20.5051      22.1663
      83      19.0240      22.7597
      84      18.7553      21.2971
      85      16.9808      20.7477
      86      18.0059      21.6879
      87      19.3707      19.0598
      88      17.7180      16.2488
      89      18.6660      21.1707
      90      20.5130      21.7691
      91      19.7770      19.3907
      92      19.0573      18.0866
      93      18.7172      19.2489
      94      19.6331      20.2987
      95      18.5557      18.0833
      96      18.9813      18.5901
      97      18.2906      17.4809
      98      16.8435      16.7028
      99      16.9420      15.1110
     100      17.0127      15.5767
     101      20.0511      15.7393
     102      19.4211      17.1272
     103      20.9413      16.0481
     104      19.0787      13.7538
     105      18.7568      14.4829
     106      22.8470      18.3105
     107      21.2942      19.0084
     108      21.0280      17.9125
     109      20.0034      18.3365
     110      18.5376      17.8374
     111      18.4509      17.8420
     112      18.3460      17.5594
     113      18.4557      17.3343
     114      20.2845      18.3274
     115      16.5107      16.2433
     116      18.7969      18.0423
     117      20.4477      17.2451
     118      18.2354      17.1370
     119      18.0819      17.7491
     120      17.2547      16.4341
     121      16.8696      15.4555
     122      18.3830      19.5565
     123      21.1507      20.3443
