#Frame       chi1:120     chi2:120     chi3:120
       1     -44.8121     -56.4208     -26.1727
       2    -112.7621      70.6332    -122.1726
       3    -126.7714      61.9726    -132.2291
       4    -138.1521      62.0917    -112.5333
       5    -167.9076      70.1473    -112.2278
       6    -171.5567      81.3616    -108.4699
       7    -142.3830      82.3840     -98.7220
       8    -109.7964      61.5207     -92.4841
       9    -107.6751      69.7266     -99.3093
      10    -135.7402      93.5907     -45.9089
      11    -167.8954      95.4827     -96.8463
      12    -133.7784      75.0065     -82.8104
      13     179.0092     105.0354     -86.8171
      14    -154.3650      78.5925     -72.2385
      15    -161.9493      99.9337     -75.5794
      16     -99.7078      34.7628     -98.0001
      17    -155.1266      64.0882    -122.6924
      18    -146.5057      58.0022    -125.5839
      19    -162.8354      75.3957     -71.1925
      20    -137.2571      81.0721     -56.3310
      21    -166.5875      91.7412     -21.6907
      22    -170.3319      99.9736     -49.1397
      23    -146.1067      79.2190     -80.8533
      24    -149.6249     101.3761     -72.2355
      25    -173.9021      79.1786     -47.4404
      26    -168.4998      99.0783     -62.2761
      27    -154.4864      97.4623     -78.1602
      28    -148.1692     121.0410     -90.0903
      29    -160.6881      62.1096     -60.9855
      30    -160.8639      72.9845     -30.9754
      31    -170.5071      78.1583     -87.9018
      32    -163.3875      81.1259     -95.5612
      33     177.3001      72.0323     -74.9307
      34    -172.2041      72.1332    -107.4983
      35     176.1012      60.8477    -161.9301
      36    -169.0560      51.1185    -118.0008
      37    -162.2105      53.4432     -95.4876
      38     -95.9845      44.2895     -97.7266
      39    -158.9614      73.1870    -134.9914
      40    -133.5858      22.0557     -81.3034
      41    -154.1973      75.5194     -92.3063
      42    -156.6144      82.2926     -79.2292
      43    -173.2380      87.1064     -64.9523
      44    -153.5550      87.2181     -85.9630
      45    -134.0894      87.8637     -67.1230
      46    -120.4721      79.2840     -63.0063
      47    -138.2914      62.7258    -101.2808
      48    -149.1696      98.0986     165.9879
      49    -161.9063      65.7344     173.2180
      50    -149.9352      80.8031     152.4095
      51    -120.4796      86.9011     152.6165
      52    -146.7396      85.5919     147.1072
      53    -153.7807     103.2507     127.8361
      54    -154.9967      90.7131     145.2382
      55    -158.9870      87.0994     107.2361
      56    -140.4340      82.2829     149.3859
      57    -171.2751      88.1247     105.5102
      58    -179.9502      44.4045     172.8606
      59    -175.3091      51.7367    -137.5672
      60    -139.2124     -56.5785    -111.1069
      61    -154.3011      64.8243    -132.0236
      62    -158.9600      68.0401    -137.5123
      63    -154.1659      50.2252    -124.0691
      64    -154.6203      86.1023    -164.3927
      65    -172.3699     167.9194      87.0413
      66    -149.3299    -176.0304      19.3252
      67    -167.5893     173.0373     152.2906
      68    -139.5013     167.8879     107.6144
      69    -174.3418     142.0541      54.6358
      70     174.6863      83.1982     103.9823
      71    -155.0389      83.6927     107.0270
      72    -148.5128      65.4412      66.1104
      73    -164.0406      65.3988      45.2482
      74    -127.7299      79.0412      89.4516
      75    -148.5231      80.4036     117.7068
      76    -126.7268      77.0755     107.4698
      77    -155.2028      63.7919      95.7972
      78    -154.3774      72.6553      99.6336
      79    -134.8835      78.1127      88.1151
      80    -135.0764      72.5614      97.6746
      81     -74.1185    -145.6055     164.0420
      82    -125.2934    -178.9424     -75.3867
      83    -164.6923    -150.0835     -74.4825
      84    -143.4854    -176.9496     -57.4558
      85    -151.5540    -179.2052     -86.8234
      86     -92.9786     166.5858    -133.2702
      87     -79.1532     -97.6089     132.1678
      88     -80.7668     -65.9664     123.0580
      89     -81.8779     -48.5690     105.6367
      90     -95.9434     -22.9262     118.3306
      91     -76.7662     -56.5323     -34.5283
      92     -91.7796     -39.0947     -26.3906
      93     -74.3438     -52.3612     -60.7983
      94     -93.7535     -53.8985     -50.0137
      95     -66.1807     -68.0268     -33.3943
      96     -90.9898     -50.4836     -55.6574
      97     -81.6949     -77.1792     -31.5198
      98     -84.7073     -71.2588     -41.3294
      99     -80.2379     -70.5023     -56.2642
     100     -81.1371     -75.3013     -48.7471
     101     -93.6699     -62.5988     -41.6839
     102     -67.2262     -72.6236     -50.0536
     103     -86.5904     -45.1077     -85.9494
     104     -78.3934     -57.2803     -26.0822
     105     -79.6163     -73.2845     -14.6872
     106     -62.6231     -64.8023     -35.5440
     107     -77.1948     -57.6679     -84.6021
     108     -86.4626     -95.3181     -74.4128
     109     -83.0094     -53.2608     -51.8409
     110     -59.8200     -55.6203     -65.0562
     111     -79.6482     -79.8210     -10.0386
     112     -76.8958     -79.3586      19.0985
     113     -82.9818     -47.8560     -62.5226
     114     -80.7699     -61.0298     -32.6836
     115     -75.5208     -76.0450      10.7957
     116     -87.8767     -35.8352     -76.8040
     117     -87.0923     -43.0637     -43.1460
     118     -75.4175     -81.3513     -35.5019
     119     -96.0896     -57.0223     -53.5349
     120     -90.8015     -56.7617     -68.7921
     121     -83.7604     -84.0767     126.1093
     122     -97.8516     -88.2870      81.1960
     123     -74.1529     -84.8642     105.1516
     124     -78.9091     -85.3849      95.5117
     125     -71.4427     -84.0591      75.1683
     126     -87.2604     -76.9393     102.6251
     127     -89.9399     -82.8512      57.4701
     128     -79.4652     -86.3578     101.8315
     129     -83.5844     -78.4600     100.0338
     130     -71.6058     -71.8416      89.2057
     131     -85.3074     -80.8870     155.2363
     132     -77.5036     -79.9529      93.9223
     133     -83.0043     -64.9933      93.7344
     134     -66.0893     -70.6581      83.6571
     135     -68.4341     -99.8554      82.7008
     136     -78.2234     -90.7735     110.9708
     137     -94.7587     -58.2766      89.1238
     138     -63.1846     -68.2004     133.1244
     139     -82.0256     -56.3995      95.9961
     140     -88.1708     -64.8690     109.0373
     141     -74.5184     -63.6945     137.8321
     142     -94.5820     -90.7762     157.8632
     143     -71.8381     -82.5887      94.5327
     144     -79.1709     -78.8992     126.0265
     145     -85.3978     -58.2478     101.4336
     146     -70.1290     -53.5980     137.4789
     147     -81.3460     -63.0598     109.3580
     148     -85.4041     -59.4470     108.1145
     149     -70.6516     -71.5118      94.0788
     150     -91.6381     -44.4947      90.4935
     151     -79.2296     -59.5838      80.0385
     152     -73.6793     -90.9334     105.8318
     153     -62.4992     -67.5440      93.2308
     154     -67.2278     -57.9989      89.8700
     155     -72.9803     -94.1944      96.8544
     156     -83.7852     -66.5272     101.8491
     157     -59.6733     -46.7599     144.8923
     158     -80.0655     -71.1534     109.1143
     159     -69.3341     -83.1942     100.4789
     160     -81.2927     -48.2991     142.5229
     161     -76.2355     -57.3993     143.5166
     162     -79.3726     -74.7123     169.7365
     163     -84.5097     -65.9739     174.5276
     164     -88.2840     -46.5281     101.4892
     165     -59.4955     -69.1021     131.7705
     166     -78.0197     -84.5158     121.0204
     167     -91.6014     -50.5465     108.4165
     168     -78.0641     -84.8349      88.6116
     169     -86.8546     -88.8625      87.2344
     170     -99.2639     -94.7294      59.6989
     171    -115.3764     -77.3489      29.1924
     172     -95.6828     -84.0888      69.2920
     173    -100.0723     -76.5696      99.8385
     174     -86.3814     -90.5855     127.6352
     175     -68.3793     -88.1082      68.7443
     176     -77.3387     -71.8955     101.7080
     177     -63.3802     -74.8107      62.0040
     178     -79.6214     -63.7014     100.6074
     179     -71.6132     -76.5418      72.4672
     180    -101.7370     -65.1289     115.2923
     181     -85.5117     -67.2626     112.7734
     182     -75.0060     -63.4260     122.3798
     183     -70.3388     -96.2554      91.7545
     184     -79.6885     -57.3424     101.2035
     185     -74.3606     -65.9563     107.8664
     186     -93.2196     -59.2772      97.2055
     187     -61.0503     -72.5833     110.9210
     188     -73.5157     -51.8758     113.3860
     189     -73.0419     -71.6699     102.0513
     190     -88.3104     -53.3347     146.1625
     191     -77.1639     -98.2157    -154.8711
     192     -82.4107     -74.8223    -177.8396
     193     -84.2814     -44.8400     100.9076
     194     -67.6924     -48.8191     104.2395
     195     -93.9733     -45.2103     128.5158
     196     -82.2528     -64.4450     167.5707
     197     -73.4014     -63.4932     124.9503
     198    -177.1309      44.3625      66.9657
     199    -153.8163      71.0330      76.7483
     200    -174.4735      49.3194      26.9096
     201    -165.3848      45.3216      53.7981
     202     178.2458      50.4067      27.8317
     203    -141.6747      45.6214      38.6251
     204    -158.8959      52.3855      26.9959
     205    -177.8053      77.4207      29.5873
     206    -172.2871      63.5005      15.8686
     207    -155.6420      59.6828      64.4364
     208     169.9091      62.3596      50.9766
     209    -178.0078      62.6014      24.2033
     210    -160.5947      72.4261      31.8609
     211    -164.0558      45.7723      59.7996
     212    -158.6222      41.8792     100.7326
     213    -166.7831      47.1660      55.5745
     214    -174.7958      56.3991      73.5486
     215    -173.4718      50.7886      58.2910
     216    -168.1305      52.1488      75.9154
     217    -172.3926      46.7934      80.7800
     218    -167.6474      46.5040      93.1414
     219    -173.0260      52.1445      85.1371
     220    -161.9070      44.0977      95.0535
     221    -162.3500      35.4688      62.2086
     222    -164.5557      46.6703      69.0428
     223    -174.3009      49.0618      70.8103
     224     176.2581      64.0505      93.8324
     225    -168.5806      49.6147      86.5637
     226    -165.0749      47.1249      88.5538
     227    -174.1019      48.6459      87.7761
     228    -172.9062      56.8994     108.3385
     229    -170.9210      52.7030      94.6253
     230    -173.0364      56.3549     116.0259
     231     171.9867      64.0205      86.4465
     232    -168.7307      44.7998      66.1908
     233    -167.9055      76.0925      83.2625
     234    -176.5654      58.4125     105.4574
     235    -173.1352      42.3026     106.4567
     236    -174.0012      53.6123     103.5576
     237    -174.2930      62.5362      90.1789
     238    -171.6184      47.6515      95.4640
     239    -175.0137      38.8576     100.2105
     240    -169.6458      46.6873      73.0630
     241    -173.6745      55.5126      89.9189
     242    -178.8096      50.2566      87.2116
     243    -172.4225      47.0373      95.0602
     244     171.5381      60.1310     111.1058
     245     178.7627      52.5804     114.0897
     246    -172.0061      46.3020     133.4639
     247     178.1979      53.3740      57.4443
     248    -163.7288      47.2467      80.1655
     249    -168.5827      43.6594     107.6578
     250    -162.6967      39.6930      84.2232
     251    -171.7174      43.0399      70.7007
     252    -178.6351      65.0620      96.9882
     253    -163.2138      35.9014      80.2802
     254    -163.4650      44.7935      93.7391
     255    -166.0691      50.2976     105.9146
