#Frame      Mode1    Mode2    Mode3
       1   81.786  -72.815   14.796
       2   80.565  -65.296   14.108
       3   76.469  -65.096   12.492
       4   75.767  -70.281    8.554
       5   77.787  -72.187    8.534
       6   80.097  -67.695    5.796
       7   77.929  -68.652    8.632
       8   84.316  -66.607   13.292
       9   84.323  -62.392   14.446
      10   80.179  -60.883   14.267
      11   83.595  -58.912   18.539
      12   84.222  -51.634   19.446
      13   83.770  -53.881   17.626
      14   82.659  -55.564   18.709
      15   81.652  -59.482   17.490
      16   78.731  -63.293   19.494
      17   83.305  -66.566   21.219
      18   81.470  -63.312   21.649
      19   81.242  -74.478   19.754
      20   84.972  -67.377   20.421
      21   74.355  -72.919   17.701
      22   74.966  -70.257   19.818
      23   78.192  -67.481   19.783
      24   79.040  -67.063   21.876
      25   78.330  -65.812   22.906
      26   78.881  -70.295   25.018
      27   72.506  -70.516   23.483
      28   71.009  -66.735   24.385
      29   75.374  -61.915   26.566
      30   72.493  -66.143   28.823
      31   73.888  -63.258   26.833
      32   76.419  -68.276   29.090
      33   68.487  -66.685   24.376
      34   71.298  -70.490   23.060
      35   70.847  -68.469   19.198
      36   72.642  -69.419   18.842
      37   66.960  -68.178   15.494
      38   68.786  -65.438   12.244
      39   76.466  -66.392   15.974
      40   70.334  -66.948   13.742
      41   71.141  -69.400   17.758
      42   70.948  -64.205   18.581
      43   70.174  -61.731   17.613
      44   73.181  -61.805   18.219
      45   73.573  -61.781   18.525
      46   70.817  -64.883   20.699
      47   67.790  -66.578   15.857
      48   67.539  -65.763   16.906
      49   72.082  -64.934   21.861
      50   70.912  -77.544   18.964
      51   64.539  -75.709   17.535
      52   67.381  -75.551   20.547
      53   66.773  -75.001   18.084
      54   68.968  -76.229   23.311
      55   69.530  -75.753   21.455
      56   66.015  -77.264   19.053
      57   64.155  -82.722   16.519
      58   66.958  -83.744   15.813
      59   66.528  -82.532   15.624
      60   76.066  -81.205   21.335
      61   71.883  -79.117   22.166
      62   70.807  -75.622   18.743
      63   72.513  -71.892   20.974
      64   72.127  -75.166   16.102
      65   68.870  -79.498   22.376
      66   71.644  -77.155   21.878
      67   66.681  -78.393   20.885
      68   65.025  -82.684   20.759
      69   67.305  -81.521   23.904
      70   58.553  -80.871   21.507
      71   61.452  -85.487   18.816
      72   60.033  -81.848   17.318
      73   63.558  -77.910   20.196
      74   62.814  -79.347   18.879
      75   62.932  -78.100   20.203
      76   61.667  -79.698   17.621
      77   60.912  -77.618   17.796
      78   62.605  -81.526   14.430
      79   65.641  -81.680   19.620
      80   70.457  -77.969   19.490
      81   66.333  -78.688   20.016
      82   66.918  -84.803   16.342
      83   69.994  -81.916   15.776
      84   76.085  -78.393   18.984
      85   79.032  -73.320   19.601
      86   71.627  -77.185   21.324
      87   76.699  -80.031   23.198
      88   72.872  -75.949   26.753
      89   75.838  -78.214   22.950
      90   75.811  -76.538   23.234
      91   68.232  -79.343   22.068
