#Frame      Mode1    Mode2    Mode3
     206  168.325   14.266    8.180
     207  169.803   15.066    7.468
     208  174.977   17.719   12.288
     209  176.852   13.417   17.921
     210  175.735   11.559   16.584
     211  169.995   16.119   10.065
     212  172.407   19.606   11.254
     213  168.174   14.531   11.853
     214  165.472   11.247   13.357
     215  164.406   14.715   18.020
     216  163.548   15.017   19.922
     217  163.372   13.894   13.783
     218  165.494   12.012   16.789
     219  170.134   12.459   20.548
     220  168.559   10.603   18.368
     221  169.576    8.721   20.779
     222  162.233    5.013   18.657
     223  154.137    4.853   22.305
     224  155.211    9.298   17.759
     225  150.514    1.371   13.442
     226  153.796    5.077    9.427
     227  151.267    2.830    6.563
     228  162.024    2.075   12.748
     229  157.114    6.079    4.367
     230  159.557    1.627    3.297
     231  162.700    2.602    5.426
     232  166.896    5.476    4.207
     233  160.192    6.888    4.773
     234  158.670    9.655    3.772
     235  164.782    5.369   -3.035
     236  163.414    6.632   -1.014
     237  160.819    5.321    5.233
     238  170.989    5.904    8.225
     239  167.926    5.357    6.873
     240  166.717    0.244    2.416
     241  163.001    0.309   -0.102
     242  168.439    4.728    2.540
     243  161.641   -3.715   -0.574
     244  160.904   -7.064    2.421
     245  156.756   -0.551    3.181
     246  155.299   -0.364    2.120
     247  155.525   -1.534   10.036
     248  144.494   -5.884    9.562
     249  150.827   -6.465    6.735
     250  155.860    0.731   14.294
     251  158.798   -5.137   17.525
     252  163.752   -4.053   15.841
     253  161.797   -7.989   15.283
     254  163.216   -2.114   14.166
     255  161.629   -4.287   10.534
     256  159.187   -1.714   13.855
     257  159.637    4.276   13.441
     258  155.871    3.976   18.400
     259  156.925    2.124   18.720
     260  162.913    9.930   19.206
     261  152.959    8.207   12.735
     262  147.924    4.259   14.381
     263  145.058    0.209   12.432
     264  144.631    5.376    8.642
     265  144.955    4.799    7.935
     266  144.356    5.338   12.667
     267  147.549    2.801   13.877
     268  150.647    8.216   15.923
     269  148.257    8.645   12.416
     270  146.039    9.337   14.074
     271  145.585    8.407   11.485
     272  144.729   13.506    8.201
     273  146.954    5.812    9.985
     274  147.312   11.071    5.767
     275  142.919    6.764   12.584
     276  144.734    7.138   13.603
     277  146.638    7.653   15.994
     278  150.239    8.376   20.621
     279  151.835    6.273   19.930
     280  155.165    4.749   19.260
     281  153.597    3.844   15.588
     282  154.320    5.537   18.530
     283  155.861   11.787   25.963
     284  155.444   13.485   16.544
     285  161.112    9.792   13.339
     286  159.433   13.222   17.805
     287  155.144   15.153   14.741
     288  146.903   17.913    9.856
     289  152.402    8.887   12.118
     290  161.967   12.031   11.951
     291  160.638   16.243   12.380
     292  160.656   13.628    8.639
     293  155.416    8.789   10.472
     294  159.405   11.483   11.877
     295  157.320   11.763   14.525
     296  153.557   10.624    7.155
     297  160.316   20.746   14.502
     298  153.886   17.697   15.704
     299  153.271   21.896   16.736
     300  156.968   22.225   16.143
     301  157.870   15.031   13.759
     302  152.916   16.627   16.906
     303  155.381   14.674   22.008
     304  156.034   15.367   17.851
     305  164.298   14.754   21.326
     306  165.243   12.389   19.804
     307  162.819   13.170   13.863
     308  160.533   20.018   17.709
     309  160.287   18.265   12.997
     310  154.001   20.202   12.585
     311  154.129   19.137   15.198
     312  152.587   17.932   17.863
     313  151.421   18.574   11.864
     314  154.358   24.072    9.874
     315  163.263   28.653   13.919
     316  165.064   32.769   16.007
     317  162.791   28.338   18.537
     318  162.743   29.398   17.606
     319  163.741   28.735   18.755
     320  160.395   27.961   15.649
     321  157.308   26.437   12.538
     322  160.415   26.326    9.263
     323  163.932   22.525   14.825
     324  160.673   23.733   11.432
     325  157.675   23.578    8.026
     326  156.787   19.004    6.307
     327  153.527   19.217    6.371
     328  152.597   18.985   -1.352
     329  157.457   15.374    8.105
     330  155.089   24.417   10.145
     331  152.646   17.486    4.495
     332  150.611   17.237    6.616
     333  151.412   12.758    6.075
     334  152.424   10.353    5.821
     335  155.350   12.719   11.868
     336  151.161   10.574   12.078
     337  153.031   13.968   14.723
     338  151.241    5.176    4.053
     339  147.640    8.139    1.334
     340  153.615    8.675    5.585
     341  157.473    6.670    7.318
     342  164.307    7.077    4.982
     343  158.786   13.240    4.160
     344  158.981   15.039    6.584
     345  159.537   18.847   10.436
     346  160.653   18.091    9.793
     347  156.178   15.204   14.518
     348  154.879   16.123   11.152
     349  155.561   15.148    9.695
     350  154.959   12.024    8.325
     351  148.596   14.572    8.591
     352  151.788   17.015   12.818
     353  155.414   12.982   11.246
     354  150.361   19.525   13.739
     355  154.571   18.097   11.385
     356  150.891   19.692   10.790
     357  147.846   21.687   12.160
     358  145.764   20.435   10.468
     359  144.354   17.328    7.322
     360  146.007   17.006    7.346
     361  146.442   17.029    8.551
     362  144.429   16.789    7.596
     363  143.161   14.690    8.727
     364  145.065   18.059   10.037
     365  152.972   17.762   11.304
     366  154.112   14.532   13.875
     367  153.956   14.164   11.864
     368  145.799   15.072   10.919
     369  149.178   14.971   11.014
     370  141.279   12.241    5.472
     371  139.764   16.421   14.395
     372  142.461   21.254    7.375
     373  144.057   15.310   13.518
     374  142.348   14.373   12.813
     375  150.436   18.444   18.683
     376  154.080   17.306   21.097
     377  155.576   11.902   24.781
     378  155.252   16.469   20.819
     379  154.372   12.993   20.429
     380  152.908   10.724   16.698
     381  157.786   14.394   17.182
     382  159.977   12.853   17.530
     383  159.995   14.747   18.369
     384  149.211   11.247   16.854
     385  155.187    5.690   17.282
     386  154.560    2.391   18.191
     387  159.839    5.997   22.898
     388  150.930    6.932   20.946
     389  147.637    5.763   19.487
     390  154.003    6.046   23.831
     391  155.331    7.856   17.720
     392  154.227    4.912   20.710
     393  163.322    3.843   20.605
     394  159.231   12.697   21.133
     395  153.301   16.177   17.630
     396  149.486    7.952   25.777
     397  151.540    4.527   19.980
     398  157.569    2.981   26.116
     399  147.556    1.336   17.199
     400  147.747    1.001   17.768
     401  149.276    0.907   21.939
     402  148.638   -2.560   16.636
     403  146.374   -5.550   18.086
     404  144.671    2.707   14.760
     405  146.678   -2.207   16.524
     406  145.510    5.928   21.604
     407  150.956   -1.805   21.382
     408  152.190    0.661   19.024
     409  150.477   -0.285   11.335
     410  147.044   -6.835   12.866
     411  151.168   -2.311   10.944
     412  149.478    1.546   25.535
