#Frame       chi1:120     chi2:120     chi3:120
     157     163.3997     137.6447      85.4945
     158     178.8281     125.3774      47.1379
     159     145.6490      79.9770      97.3662
     160    -172.8985      69.5445      90.5766
     161    -166.7901      99.8737      74.3862
     162    -177.0197     159.4935      90.9780
     163    -178.9935     162.4530      69.6145
     164    -151.2678     165.8720      50.4747
     165     -91.6178    -170.8689      76.3598
     166     -75.1126    -179.8662      59.0596
     167     -80.4002    -175.4757      77.7273
     168     -79.2970    -170.8372     125.8504
     169     -63.8500    -171.9401     144.6961
     170     -90.5740     163.0411     100.1826
     171     -92.0744     167.4475      62.1168
     172    -101.7728     156.4833      70.2308
     173     -51.7761    -154.4837      45.6987
     174     -68.2412    -148.6453      65.5706
     175     -84.7418     -94.9748      96.9347
     176     -61.8700     -95.4398      47.0277
     177     -81.0406    -100.7840      69.4925
     178     -66.0138    -122.0563      96.9274
     179     -95.2643    -121.0857     106.4088
     180    -102.8979     -96.8387      40.0097
     181     -76.6713     -56.9741     -66.5117
     182     -82.4788     -47.9931     -71.0161
     183     -75.3606     -73.2965     -48.7268
     184     -80.3285     -44.9262     -79.0308
     185     -84.0377     -71.0339     -69.8388
     186     -59.8392     -58.4417     -66.7111
     187     -87.3007     -39.8576     -43.9820
     188     -74.8008     -67.1443     -68.1666
     189     -89.6768     -99.1096    -102.0436
     190     -72.4414     -84.3594    -156.1176
     191     -74.0558    -132.5443     -75.1108
     192     -71.5970    -107.9982    -157.0860
     193    -171.4588    -170.1636     -55.5098
     194    -151.3092    -169.8665     -69.2889
     195    -162.7582     173.9308     -81.8706
     196    -130.8472    -164.8763    -131.7392
     197     -85.9885     -72.6059      93.3563
     198     -67.6150     -66.0539     100.7012
     199     -84.4606     -96.3277      71.2774
     200     -87.5097     -78.5952      72.2177
     201     -77.2998     -54.5746     -12.5493
     202     -70.1288     -51.8399     -58.2482
     203     -67.0436     -62.5020     -39.9991
     204     -53.9755     -51.8588     -38.2677
     205     -56.1467     -51.4952     -26.0465
     206     -72.1729     -66.7327     -29.1273
     207     -68.9000     -55.8063     -42.7485
     208     -66.0231     -58.5575     -34.0801
     209     -69.1092     -50.7158     -48.2539
     210     -69.8766     -53.8165     -35.0485
     211     -85.8947     -68.6796     -32.3597
     212     -63.8757     -63.1699     -24.4706
     213     -61.2960     -50.1063     -27.3636
     214     -51.5303     -64.3762     -39.0156
     215     -65.2241     -74.0363     -26.8776
     216     -51.4763     -59.8047     -19.6553
     217     -62.3535     -54.2671     -54.3845
     218     -52.0323     -55.1478     -25.3925
     219     -40.1937     -73.1738      -9.2424
     220     -67.2621     -43.7371     -61.1949
     221     -57.3804     -66.4435     -42.8943
     222     -64.8246     -60.7357     -64.1380
     223     -61.1899     -58.4849     -19.5701
     224     -36.3202     -63.8725     -27.1160
     225     -59.9106     -46.5369     -60.4434
     226     -64.4050     -45.5237     -66.5736
     227     -64.7169     -43.7241     -43.7930
     228     -45.3200     -50.8299     -43.6173
     229     -55.0121     -49.0329     -52.0567
     230     -41.1760     -51.3573     -28.7132
     231     -50.1044     -49.6559     -53.4419
     232     -53.3681     -50.6119     -22.5675
     233     -55.3173     -62.9884     -18.2374
     234     -62.1433     -47.8262     -54.7869
     235     -62.5397     -48.2136     -52.6839
     236     -57.9883     -76.8498    -118.0309
     237     -70.8508     -74.9703    -125.9219
     238     -55.7204     -72.1824    -165.2313
     239     -71.7943     -49.9131     165.5290
     240     -63.8990     -64.3601     169.5484
     241     -59.2829     -71.0426     117.9812
     242     -67.7122     -63.6118     153.7724
     243     -81.4458     -47.1781     123.3769
     244     -68.1201     -62.9489     150.8799
     245     -65.0922     -62.7781     161.3220
     246     -56.0645     -56.6507     140.5990
     247     -74.5393     -54.7426     140.7979
     248     -64.1792     -48.2365     124.8099
     249     -62.4843     -66.9525     150.8109
     250     -57.2766     -60.2349      96.6080
     251     -62.5652     -68.7546    -176.0316
     252     -68.4100     -70.4601     166.9434
     253     -87.5267     -69.7957    -153.0962
     254     -62.2446     -61.6068      89.1916
     255     -73.2959     -59.2568     108.2424
     256     -61.3269     -76.0649     138.7165
     257     -70.9021     -77.8285      41.7862
     258     -57.0777     -58.2191     -39.7326
     259     -70.2345     -50.4590     -20.3813
     260     -65.8488     -43.7313     -47.9389
     261     -66.6307     -57.7692     -44.2887
     262     -59.0218     -55.1882     -37.7129
     263     -66.5438     -53.1370     -31.5142
     264     -80.9043     -43.6306     -68.4171
     265     -68.1602     -80.9788      28.1559
     266     -72.8185     -92.6805      17.1944
     267     -73.1225     -88.9999      16.7418
     268     -75.5500     -80.5740      22.8045
     269     -59.7306     -67.4126      67.4498
     270     -54.0589     -84.8499      24.6383
     271     -72.1791     -92.1907      44.1783
     272     -70.7210     -57.6556     -49.4576
     273     -77.0977     -49.3659     -38.5091
     274     -69.2824     -57.7537     -34.8622
     275     -67.2137     -65.4145     -56.6867
     276     -64.6883     -48.8302     -33.3063
     277     -73.2051     -55.7661     -37.9296
     278     -62.9513     -60.2813     -67.1813
     279     -68.0712     -55.9036     -48.6882
     280     -70.9683     -71.2506     -42.2239
     281     -51.3352     -69.8772     -82.2188
     282     -62.8820     -43.3819     -59.9287
     283     -62.6531     -48.1482     -38.0934
     284     -64.0030     -55.1062     -38.0205
     285     -68.2321     -55.8202     -32.7930
     286     -64.3500     -67.6646     -15.5726
     287     -69.4223     -82.9697      17.7401
     288     -77.5389     -54.9034     -28.8443
     289     -70.2085     -82.6418      33.0343
     290     -68.4748     -73.1548     100.8194
     291     -75.9296     -53.7818     112.1138
     292     -59.9963     -66.2501     154.0278
     293     -65.9398     -42.5415     142.6079
     294     -68.3425     -48.0064     148.9004
     295     -60.5282     -66.5479      89.3231
     296     -61.7859     -51.4668     108.0498
     297     -62.7197     -54.4908      96.5067
     298     -58.5044     -58.7873     142.7597
     299     -65.6811     -51.1749     142.3430
     300     -78.8567     -49.5758     146.4141
     301     -72.3007     -33.3976     115.3552
     302     -85.3436     -50.7889     140.4627
     303     -55.8818     -73.8839     142.9247
     304     -68.4767     -42.6488     138.8205
     305     -66.9603     -59.7892     155.8930
     306     -73.6185     -70.8896     153.5963
     307     -69.7812     -63.8544     169.2122
     308    -103.7330     -67.9241    -169.2886
     309     -69.4668     -76.4679    -167.5307
     310     -66.7776     -61.2534     143.7815
     311     -94.0823     -56.7583    -165.3448
     312     -70.8697     -56.8259     134.2122
     313     -61.4757     -87.1719     158.3251
     314     -50.6263     -49.0228     151.2673
     315     -69.7988     -48.8552     137.4068
     316     -96.3991     -17.6364     102.6949
     317     -75.9494     -61.0179     163.6604
     318     -53.6635     -63.5467     148.2903
     319     -66.6321     -43.6192     129.5255
     320     -62.4558     -60.3597     161.7021
     321     -68.3879     -54.7628     133.4032
     322     -66.2580     -63.3138     139.8839
     323     -70.3389     -51.1062     157.1323
     324     -71.1581     -52.8999     146.0507
     325     -56.4397     -78.5153     165.2246
     326     -77.7041     -64.1370     140.4695
     327     -62.6809     -74.5895     170.2016
     328     -72.4208     -60.8895     103.9829
     329     -55.5002     -43.9607     126.6396
     330     -64.9983     -48.1656     144.3574
     331     -56.0288     -70.0169    -158.5567
     332     -70.1165     -76.7070     176.3058
     333     -56.3427     -69.9253    -169.0775
     334     -61.4946     -76.7422    -154.7206
     335     -61.9274     -76.6217     145.8343
     336     -55.7109     -75.0825    -177.6865
     337     -52.4240     -59.6213     153.0896
     338     -67.1251     -56.1952     156.7824
     339     -59.1433     -67.0282     147.3552
     340     -51.6483     -46.9924     150.9510
     341     -59.1997     -54.6058     171.5355
     342     -56.5996     -61.4837    -176.6424
     343     -55.6787     -54.2449     168.9177
     344     -76.0710     -62.7421     176.0220
     345     -59.3987     -64.2105     170.2299
     346     -65.7954     -74.0671    -157.6454
     347     -58.2959     -47.2519     167.9048
     348     -62.9486     -49.1734     126.7381
     349     -73.3809     -48.4661     162.6310
     350     -57.3359     -56.0468     158.0689
     351     -63.6285     -49.3975     138.8021
     352     -71.2561     -72.7635     163.7895
     353     -63.5594     -59.1346     166.5889
     354     -63.9957     -56.2208     143.8267
     355     -69.9536     -60.7070     175.2888
     356     -76.3266     -55.7801     156.5580
     357     -83.4406     -63.7715     137.4665
     358     -63.2659     -50.5876     138.3016
     359     -61.4739     -59.2681     140.2171
     360     -70.5522     -32.4738     127.4519
     361     -49.2031     -59.6377     126.8379
     362     -64.9335     -52.9400     131.0571
     363     -56.8724     -63.7104     150.7504
     364     -65.7428     -55.4302     143.7529
     365     -60.5586     -59.6838     146.0982
     366     -48.8305     -75.8511     175.7940
     367     -64.6697     -67.1142     146.8089
     368     -66.2811     -80.7782     136.9802
     369     -50.4799     -76.0804     152.4814
     370     -62.5708     -46.7059     157.9800
     371     -65.6938     -51.4290     131.3601
     372     -55.7500     -65.1670     138.9097
     373     -62.7272     -65.9645      97.6480
     374     -86.5881     -26.5281      89.4408
     375     -52.0443     -45.4988     151.4007
     376     -65.7165     -55.7393     155.2007
     377     -72.8260     -48.6231     135.7180
     378     -74.7722     -56.5312     143.3260
     379     -70.3991     -79.6589     172.3117
     380     -64.3160     -65.6686     155.0276
     381     -71.9821     -33.8595      86.4913
     382     -75.9610     -48.0519     140.5005
     383     -65.6549    -100.1019    -158.0143
     384     -64.9108     -58.5424     166.2179
     385     -88.9675     -65.1534    -173.8002
     386     -62.9580     -61.0308     173.3545
     387     -54.4496     -65.1170     140.5373
     388     -69.6780     -51.7355     132.2868
     389     -72.3978     -60.9320     164.0044
     390     -73.7086     -51.3949     137.6466
     391     -72.0368     -55.5634     131.2082
     392     -79.0256     -66.6708     144.6121
