#Frame      Mode1    Mode2    Mode3
       1   59.577  -57.914   32.322
       2   58.655  -56.034   31.665
       3   56.658  -60.803   33.803
       4   56.899  -61.615   28.561
       5   58.523  -57.379   27.484
       6   55.847  -53.551   27.746
       7   62.122  -50.355   24.033
       8   60.646  -52.843   29.858
       9   61.048  -51.204   28.338
      10   60.119  -54.332   23.804
      11   67.874  -53.483   28.508
      12   65.494  -49.202   21.796
      13   64.243  -49.543   20.538
      14   59.726  -47.315   21.295
      15   65.795  -47.254    9.578
      16   62.818  -43.295   15.884
      17   65.753  -45.483   14.165
      18   71.004  -49.319   24.153
      19   62.712  -48.024   31.309
      20   61.239  -46.986   30.474
      21   63.812  -44.139   26.357
      22   69.421  -40.163   25.303
      23   67.079  -44.555   27.046
      24   66.029  -44.766   30.516
      25   62.847  -44.559   27.050
      26   64.866  -40.239   26.054
      27   64.100  -43.051   23.360
      28   64.898  -39.865   21.563
      29   65.225  -42.681   21.153
      30   63.857  -43.022   19.944
      31   68.062  -48.678   21.604
      32   68.509  -41.404   20.859
      33   62.961  -41.886   25.368
      34   65.046  -44.097   25.194
      35   67.624  -42.369   27.651
      36   69.724  -46.293   33.399
      37   68.943  -42.782   39.167
      38   68.040  -45.157   41.798
      39   70.272  -47.892   36.966
      40   68.545  -44.541   38.111
      41   66.244  -41.332   31.916
      42   66.515  -40.537   24.154
      43   71.929  -43.345   28.069
      44   65.343  -38.973   22.388
      45   69.626  -45.488   26.268
      46   68.067  -48.612   28.976
      47   67.453  -49.267   23.099
      48   69.375  -48.027   23.120
      49   67.318  -47.207   25.172
      50   68.552  -47.712   29.887
      51   70.930  -46.659   24.696
      52   68.027  -50.329   28.284
      53   69.531  -50.623   31.147
      54   67.707  -51.229   35.032
      55   66.273  -51.182   32.020
      56   66.212  -52.358   33.283
      57   65.786  -55.724   33.600
      58   65.711  -53.475   35.489
      59   62.409  -53.947   29.771
      60   62.171  -54.447   29.430
      61   66.078  -49.468   32.824
      62   59.492  -46.944   28.895
      63   61.161  -50.749   34.414
      64   61.502  -49.039   27.297
      65   64.556  -49.453   32.053
      66   64.416  -52.057   34.900
      67   65.993  -49.932   35.971
