#Frame        chi1:32      chi2:32      chi3:32
       1     -75.6427     -39.8729     126.0761
       2    -157.6813      71.6995      62.0561
       3    -162.5941      61.2810      62.9524
       4    -145.1135      48.8408      73.3120
       5    -164.9422      62.2830      99.8494
       6    -105.6101      73.3919     108.7197
       7    -108.3725      86.3119      97.0589
       8    -170.9975      72.7144      57.6524
       9    -148.1378      96.9874      43.6738
      10    -147.8055      52.2366      92.2345
      11     -90.0844     -38.8935     107.2070
      12     -69.1762     -51.2451     106.2471
      13     -62.2463     -44.3031     117.1451
      14     -64.5172     -63.0910     120.2611
      15    -164.4444      72.4084      18.8150
      16    -156.9507      71.6946      11.5257
      17    -140.1696      66.3298      65.6135
      18     -63.5904     -70.1479     123.4993
      19     -73.0334     -51.6510     110.7539
      20    -155.8063      49.3325      60.3317
      21    -129.9000      56.2940      91.9824
      22    -137.5542      30.5152      64.3994
      23    -153.8891      52.6506      80.8708
      24    -171.6664      62.3888      59.5931
      25     175.8401      52.8286      58.0640
      26     165.8195      67.1433      48.0255
      27    -177.5800      66.6860      39.6111
      28     158.5118      62.6669     105.0783
      29     164.3870      53.5520     112.2943
      30     179.2307      57.4012      63.5040
      31    -178.5548      62.2483      76.5174
      32    -178.7608      55.3798      62.8473
      33    -166.5672      61.6551      63.5980
      34    -152.7072      72.5768      42.5068
      35    -176.2854      34.1457      70.0289
      36     176.1849      69.0820      39.1739
      37    -163.7044      56.2139      93.9760
      38     168.7088      66.3900      65.0733
      39    -178.2138      46.5958      61.9998
      40     172.7911      61.0256      48.2888
      41    -170.2573      33.9854      72.4840
      42    -154.9170      67.3985      88.5584
      43     175.2891      72.0960      62.7230
      44    -178.6185      67.0093      54.4603
      45     167.2604      65.3818      62.7672
      46    -174.7844      64.2367      53.7266
      47    -155.9566      55.3008      40.9266
      48    -168.0112      48.0461      55.3371
      49    -163.2353      62.2613      62.2492
      50    -161.4432      75.3122      66.8306
      51    -160.1223      69.8646      40.3621
      52    -157.9780      63.7614      47.1085
      53    -160.6061      48.0396      52.5630
      54    -171.4580      52.5902      60.5462
      55    -172.8879      69.6477      25.5651
      56    -164.3427      59.7158      36.3184
      57     179.4296      67.4381      87.7887
      58    -177.1688      60.4134      53.9937
      59    -153.3188      56.1909      44.5822
      60     178.7258      66.0863      35.3849
      61    -171.0123      61.8711      34.7171
      62    -176.0479      58.8811      56.3891
      63    -176.5896      61.1999      30.4311
      64     167.0313      82.0686      63.1514
      65     170.5573      64.1601      35.5983
      66    -171.6441      76.0443      27.4013
      67    -171.2396      58.1968      44.9363
      68    -175.7708      46.9995      70.6572
      69     172.7721      44.2782      63.0939
      70    -169.6998      51.9787      53.1023
      71    -178.7397      48.8109      63.0697
      72     169.6578      66.4852      59.8017
      73     176.8322      63.2305      78.0907
      74    -174.9346      54.5581      62.3239
      75     170.3954      59.8274      58.2527
      76     173.8157      67.7893      99.6655
      77     161.1026      59.1124      98.0995
      78     171.0393      49.0729      96.1323
      79    -177.1420      66.7599      78.9127
